sample,signal_type,horizon_sessions,dimension,bucket,n,benchmark_n,tickers,raw_match_rate,raw_match_ci_low,raw_match_ci_high,net_match_rate_10bps,mean_directional_return,median_directional_return,mean_directional_excess,median_directional_excess,mean_excess_ci_low,mean_excess_ci_high
all_events,smart_alpha_ui,20,consensus_overlap,standalone,29,29,24,0.4482758620689655,0.2841291114874579,0.6245233293193238,0.4482758620689655,-0.044754102359393026,-0.037745344740815256,-0.041267924615552884,-0.020576826605358756,-0.08525729731350334,0.007318529415908163
all_events,smart_alpha_ui,60,direction,bear,8,8,7,0.375,0.13684175946152105,0.6942621454161981,0.375,-0.08854340051428719,-0.08649441559358617,-0.009594334193115867,0.004989690619991105,-0.22952506472160922,0.1571318824604498
all_events,smart_alpha_ui,60,direction,bull,42,42,28,0.35714285714285715,0.22988992501626865,0.5083391071292063,0.35714285714285715,0.019915522385625634,-0.10573051478004358,-0.018141464065288007,-0.1161202977381835,-0.13119094773825485,0.12792666659180846
all_events,smart_alpha_ui,60,source_count,1,32,32,23,0.375,0.2293366846595921,0.5474589941047487,0.375,-0.021252467884660703,-0.08649441559358617,-0.03625109369124303,-0.07395769532191082,-0.16092973453105386,0.09278202375592882
all_events,smart_alpha_ui,60,source_count,2,18,18,11,0.3333333333333333,0.1627855436366286,0.5625093065574964,0.3333333333333333,0.044899094910617866,-0.14116974661840342,0.017852157435152987,-0.15486445162169132,-0.14149258966378928,0.3815654098053916
all_events,smart_alpha_ui,60,agreement,unanimous,50,50,32,0.36,0.24138562967182875,0.49859237989698046,0.36,0.0025620947216395827,-0.09581444328989802,-0.016773923285740466,-0.09372569966742045,-0.11513157101656471,0.11736192712156863
all_events,smart_alpha_ui,60,period,first_half_through_2026-01-26,31,31,21,0.3225806451612903,0.18569230747313034,0.49859314440049185,0.3225806451612903,-0.10087243280344987,-0.14116974661840342,-0.11050791786391419,-0.1418794339675068,-0.21086279283143008,0.00439044150263425
all_events,smart_alpha_ui,60,period,second_half_after_2026-01-26,19,19,15,0.42105263157894735,0.2314162039203038,0.6372444853483988,0.42105263157894735,0.17132369226257502,-0.008986297627605944,0.1361604889207535,-0.04560081747530709,-0.07550074474278262,0.422938187528963
all_events,smart_alpha_ui,60,consensus_overlap,overlap,26,26,16,0.3076923076923077,0.16501120939792674,0.49988611514231246,0.3076923076923077,0.07881379503521643,-0.14116974661840342,0.05934872441042204,-0.12557745039543305,-0.10541551788726403,0.349484622857498
all_events,smart_alpha_ui,60,consensus_overlap,standalone,24,24,20,0.4166666666666667,0.24467347246538232,0.6116566235061137,0.4166666666666667,-0.08004391395140202,-0.048678738118826004,-0.09924012495658319,-0.05231920915527949,-0.19949115276404292,-0.016895924801309487
all_events,smart_consensus,1,direction,bear,78,78,24,0.5641025641025641,0.4536178766457738,0.6685693728703647,0.5384615384615384,0.005550483308174474,0.001966994480770534,0.00473713447851222,0.0020366251101234245,-0.0013505794057050316,0.012975421605730984
all_events,smart_consensus,1,direction,bull,867,848,99,0.4740484429065744,0.4409984356864931,0.5073274136987453,0.45790080738177624,-0.003067336575916394,-0.0020338983050849357,-0.0029330250668024044,-0.0016680571992708781,-0.00601300467411444,-0.00016302514878578574
all_events,smart_consensus,1,source_count,2,209,209,94,0.4880382775119617,0.42109957892549327,0.5554087728252923,0.4784688995215311,-0.002731958078361051,-0.00031849162367036943,-0.0026934191595490604,-8.035805206585422e-05,-0.009426278730798442,0.004530911624957868
all_events,smart_consensus,1,source_count,3,146,146,51,0.5273972602739726,0.4467530997592218,0.6066366131109023,0.5068493150684932,0.00038709246851157335,0.001152702712988729,0.00034737861391999033,7.118329950328572e-05,-0.004473498410488275,0.0050709440985958485
all_events,smart_consensus,1,source_count,4,132,132,34,0.5075757575757576,0.42328760705491464,0.5914354232980846,0.49242424242424243,-0.0034820234853262235,0.000542074682806537,-0.0024670725540009574,-6.747919423788495e-07,-0.008373931023951427,0.004129121419872845
all_events,smart_consensus,1,source_count,5+,458,439,32,0.45633187772925765,0.41126636130367056,0.5021238573340615,0.4366812227074236,-0.0027343936140700287,-0.0024872037604702357,-0.0029153709874326287,-0.0015578020255430092,-0.0066699003370389535,9.04026533421372e-05
all_events,smart_consensus,1,agreement,split,471,457,45,0.4819532908704883,0.43715537695920653,0.5270432105276522,0.46284501061571126,-0.0012351142278276218,-0.0015513764156309673,-0.0015078006707362587,-0.0009202880493421883,-0.005144972831497308,0.0014052779349702203
all_events,smart_consensus,1,agreement,unanimous,474,469,96,0.4810126582278481,0.43636579810413084,0.5259648152204519,0.46624472573839665,-0.003469840320622563,-0.0010032298680450191,-0.0030461489569254055,-0.0006272334890238263,-0.007057976485308565,0.0007546679232829914
all_events,smart_consensus,1,period,first_half_through_2026-01-26,166,166,31,0.5963855421686747,0.5203860388719281,0.6680248098247397,0.5783132530120482,0.0030193070438752963,0.002996221840431912,0.0035633149692124314,0.0028801885945634598,-0.00030158951766090514,0.007195643825750665
all_events,smart_consensus,1,period,second_half_after_2026-01-26,779,760,99,0.45699614890885754,0.42231044506464793,0.4921039141109504,0.44030808729139925,-0.0035014737901992348,-0.0026454031418864377,-0.0035647619108075644,-0.00207086041972393,-0.0069732205838313865,-0.0005855348386321797
all_events,smart_consensus,1,consensus_overlap,standalone,945,926,104,0.48148148148148145,0.4497633963878128,0.5133495194034003,0.46455026455026455,-0.00235602445849937,-0.0011963439728190917,-0.002286942513309379,-0.0008394150447282311,-0.005466739479457667,0.00034860154460907646
all_events,smart_consensus,5,direction,bear,78,78,24,0.6025641025641025,0.4916165517837074,0.703883047442114,0.6025641025641025,0.007287915330144197,0.014292193907304296,0.010576031563148286,0.010874339112096454,-0.007299760023561889,0.03317249991767995
all_events,smart_consensus,5,direction,bull,867,837,99,0.4348327566320646,0.40219319562142414,0.468047270612619,0.43252595155709345,-0.010952393661752203,-0.010965966184630083,-0.01114033723258634,-0.012119774005267536,-0.01920981029736104,-0.0029318781978851607
all_events,smart_consensus,5,source_count,2,209,209,94,0.44976076555023925,0.3838278614966887,0.5175072158566109,0.44976076555023925,-0.016041701773326898,-0.01622791200865481,-0.01695391441878133,-0.014316543192126385,-0.031933858363076016,-0.0014268652399452848
all_events,smart_consensus,5,source_count,3,146,145,51,0.4589041095890411,0.38016268888353316,0.5397527418112807,0.4589041095890411,-0.0013619828231814946,-0.006149225752945298,0.00030467400887741394,-0.0013927235057229481,-0.018535185309365345,0.022166690237868145
all_events,smart_consensus,5,source_count,4,132,132,34,0.4090909090909091,0.32894005673952187,0.4943835790244856,0.4090909090909091,-0.00777635982126203,-0.00782670488599635,-0.0055930492297864755,-0.009360976763473472,-0.023636583499958428,0.013804382121204634
all_events,smart_consensus,5,source_count,5+,458,429,32,0.45633187772925765,0.41126636130367056,0.5021238573340615,0.4519650655021834,-0.009496120632688877,-0.008846404870951285,-0.009934869280138257,-0.011039465630462875,-0.02208422622885324,0.002106169906817689
