breakdown_type,group_value,source_scope,indicator,window_days,outcome_horizon,direction,cost_bps,n_events,raw_hit_rate,excess_hit_rate,excess_hit_ci_low,excess_hit_ci_high,avg_directional_return_pct,median_directional_return_pct,avg_win_pct,avg_loss_pct,payoff_ratio,profit_factor,avg_directional_excess_pct,median_directional_excess_pct,excess_profit_factor
position_policy,non_overlapping_same_ticker,all,author_net_shift,3,60D,all,0,1,0.0,0.0,0.0,0.7934506856227626,-0.021319150870494186,-0.021319150870494186,,-0.021319150870494186,,,-0.012164726720390817,-0.012164726720390817,
position_policy,non_overlapping_same_ticker,all,author_net_shift,3,90D,all,0,1,1.0,1.0,0.20654931437723745,1.0,0.0982999227237602,0.0982999227237602,0.0982999227237602,,,,0.08314019633118919,0.08314019633118919,
position_policy,non_overlapping_same_ticker,all,author_net_shift,30,1D,all,0,161,0.5527950310559007,0.559748427672956,0.4820807267303315,0.6345971766586392,0.0035702518496813556,0.0030141432877348606,0.022089991762965604,-0.019322204432017227,1.1432438695432756,1.4131764498521044,0.002151512288446103,0.0024220143350874856,1.2545960880852054
position_policy,non_overlapping_same_ticker,all,author_net_shift,30,20D,all,0,79,0.4050632911392405,0.44871794871794873,0.3433437231709858,0.5589063085943674,0.0001412074409489501,-0.011510938458392905,0.17312682728209391,-0.11763623585514975,1.4717134225144026,1.002017649371508,0.001202082483916127,-0.01324121389894628,1.0190684166664252
position_policy,non_overlapping_same_ticker,all,author_net_shift,30,5D,all,0,128,0.5703125,0.5196850393700787,0.43349828295507575,0.6047159042380832,0.010962422061396884,0.013632457899851846,0.06345658853689838,-0.058711653442450544,1.080817602915899,1.4345397275065566,0.0064363520510089586,0.003545346364352886,1.263475932956845
position_policy,non_overlapping_same_ticker,all,author_net_shift,30,60D,all,0,30,0.36666666666666664,0.3448275862068966,0.19940718526674994,0.5265489590952386,-0.08799661160252122,-0.05587658059050549,0.43631210004622933,-0.3915437604517978,1.1143380232717126,0.6451430661046758,-0.1496651115903361,-0.12393477656556817,0.410754406059746
position_policy,non_overlapping_same_ticker,all,author_net_shift,30,90D,all,0,19,0.3684210526315789,0.3684210526315789,0.19149512745135072,0.5896046683519693,-0.19104465551645702,-0.09519803479489852,0.11395874335279288,-0.3689633048568528,0.3088619975284686,0.18016949855827336,-0.199365194551947,-0.07354870993335139,0.1768439607117442
position_policy,non_overlapping_same_ticker,all,author_net_shift,7,1D,all,0,69,0.42028985507246375,0.35294117647058826,0.25001976884865196,0.4715894477748983,-0.0114575011574325,-0.003055095277547659,0.01840520228056222,-0.033107961149978674,0.5559146997058161,0.40303815728671666,-0.012310667057332178,-0.003391995905962175,0.31167546187898376
position_policy,non_overlapping_same_ticker,all,author_net_shift,7,20D,all,0,26,0.46153846153846156,0.46153846153846156,0.2875585353039122,0.6454206125314121,0.004317425348717959,-0.015767307097396044,0.13318048318158004,-0.1061366242223067,1.2548023282013292,1.0755448527439966,0.008959390655750845,-0.010797425944595374,1.1835832322262143
position_policy,non_overlapping_same_ticker,all,author_net_shift,7,5D,all,0,50,0.44,0.4791666666666667,0.34471316176951616,0.616707676966572,-0.0016315252441422624,-0.008943977898818956,0.06476910874206737,-0.05380345194759268,1.203809540048765,0.945850352895458,0.0032553454328000803,-0.0016287434960670089,1.1440284334938373
