top_percentile,min_same_authors,min_consensus,window_days,horizon_days,split_day,split,raw_events,n_events,n_tickers,n_months,max_ticker_share,excess_hit_rate,excess_hit_ci_low,excess_hit_ci_high,avg_directional_excess_pct,median_directional_excess_pct,excess_payoff_ratio,excess_profit_factor,positive_month_rate,avg_monthly_excess_pct,monthly_lcb_score
5,4,0.55,7,20,2026-03-12,test,8,7,7,3,0.14285714285714285,0.14285714285714285,0.02567962434474355,0.5131278292743189,-0.11021745635927542,-0.06315018371362524,0.68468188301612,0.11411364716935335,0.3333333333333333,-0.08038050149838731,-0.18023210511339738
5,4,0.6,7,20,2026-03-12,all,11,10,7,6,0.3,0.3,0.10779126740630099,0.6032218525388546,-0.08353746262555459,-0.0585444709295897,0.31726769510724556,0.13597186933167668,0.5,-0.05083232270596331,-0.10033202355401254
5,4,0.6,7,20,2026-03-12,train,2,2,2,2,0.5,0.5,0.09453120573423074,0.9054687942657693,-0.036643000860452635,-0.036643000860452635,0.2360713565649507,0.2360713565649507,0.5,-0.036643000860452635,-0.09593304603865949
5,4,0.6,7,20,2026-03-12,test,8,7,7,3,0.14285714285714285,0.14285714285714285,0.02567962434474355,0.5131278292743189,-0.11021745635927542,-0.06315018371362524,0.68468188301612,0.11411364716935335,0.3333333333333333,-0.08038050149838731,-0.18023210511339738
5,4,0.67,7,20,2026-03-12,all,11,10,7,6,0.3,0.3,0.10779126740630099,0.6032218525388546,-0.08353746262555459,-0.0585444709295897,0.31726769510724556,0.13597186933167668,0.5,-0.05083232270596331,-0.10033202355401254
5,4,0.67,7,20,2026-03-12,train,2,2,2,2,0.5,0.5,0.09453120573423074,0.9054687942657693,-0.036643000860452635,-0.036643000860452635,0.2360713565649507,0.2360713565649507,0.5,-0.036643000860452635,-0.09593304603865949
5,4,0.67,7,20,2026-03-12,test,8,7,7,3,0.14285714285714285,0.14285714285714285,0.02567962434474355,0.5131278292743189,-0.11021745635927542,-0.06315018371362524,0.68468188301612,0.11411364716935335,0.3333333333333333,-0.08038050149838731,-0.18023210511339738
5,4,0.75,7,20,2026-03-12,all,11,10,7,6,0.3,0.3,0.10779126740630099,0.6032218525388546,-0.08353746262555459,-0.0585444709295897,0.31726769510724556,0.13597186933167668,0.5,-0.05083232270596331,-0.10033202355401254
5,4,0.75,7,20,2026-03-12,train,2,2,2,2,0.5,0.5,0.09453120573423074,0.9054687942657693,-0.036643000860452635,-0.036643000860452635,0.2360713565649507,0.2360713565649507,0.5,-0.036643000860452635,-0.09593304603865949
5,4,0.75,7,20,2026-03-12,test,8,7,7,3,0.14285714285714285,0.14285714285714285,0.02567962434474355,0.5131278292743189,-0.11021745635927542,-0.06315018371362524,0.68468188301612,0.11411364716935335,0.3333333333333333,-0.08038050149838731,-0.18023210511339738
5,4,0.8,7,20,2026-03-12,all,11,10,7,6,0.3,0.3,0.10779126740630099,0.6032218525388546,-0.08353746262555459,-0.0585444709295897,0.31726769510724556,0.13597186933167668,0.5,-0.05083232270596331,-0.10033202355401254
5,4,0.8,7,20,2026-03-12,train,2,2,2,2,0.5,0.5,0.09453120573423074,0.9054687942657693,-0.036643000860452635,-0.036643000860452635,0.2360713565649507,0.2360713565649507,0.5,-0.036643000860452635,-0.09593304603865949
5,4,0.8,7,20,2026-03-12,test,8,7,7,3,0.14285714285714285,0.14285714285714285,0.02567962434474355,0.5131278292743189,-0.11021745635927542,-0.06315018371362524,0.68468188301612,0.11411364716935335,0.3333333333333333,-0.08038050149838731,-0.18023210511339738
5,5,0.55,7,20,2026-03-12,all,3,3,3,2,0.3333333333333333,0.0,5.551115123125783e-17,0.5614970317550454,-0.1345376466216461,-0.16715742401112288,,,0.0,-0.1465324243932999,-0.18251675770826126
5,5,0.55,7,20,2026-03-12,train,0,0,0,0,,,,,,,,,,,
5,5,0.55,7,20,2026-03-12,test,3,3,3,2,0.3333333333333333,0.0,5.551115123125783e-17,0.5614970317550454,-0.1345376466216461,-0.16715742401112288,,,0.0,-0.1465324243932999,-0.18251675770826126
5,5,0.6,7,20,2026-03-12,all,3,3,3,2,0.3333333333333333,0.0,5.551115123125783e-17,0.5614970317550454,-0.1345376466216461,-0.16715742401112288,,,0.0,-0.1465324243932999,-0.18251675770826126
5,5,0.6,7,20,2026-03-12,train,0,0,0,0,,,,,,,,,,,
5,5,0.6,7,20,2026-03-12,test,3,3,3,2,0.3333333333333333,0.0,5.551115123125783e-17,0.5614970317550454,-0.1345376466216461,-0.16715742401112288,,,0.0,-0.1465324243932999,-0.18251675770826126
5,5,0.67,7,20,2026-03-12,all,3,3,3,2,0.3333333333333333,0.0,5.551115123125783e-17,0.5614970317550454,-0.1345376466216461,-0.16715742401112288,,,0.0,-0.1465324243932999,-0.18251675770826126
5,5,0.67,7,20,2026-03-12,train,0,0,0,0,,,,,,,,,,,
5,5,0.67,7,20,2026-03-12,test,3,3,3,2,0.3333333333333333,0.0,5.551115123125783e-17,0.5614970317550454,-0.1345376466216461,-0.16715742401112288,,,0.0,-0.1465324243932999,-0.18251675770826126
5,5,0.75,7,20,2026-03-12,all,3,3,3,2,0.3333333333333333,0.0,5.551115123125783e-17,0.5614970317550454,-0.1345376466216461,-0.16715742401112288,,,0.0,-0.1465324243932999,-0.18251675770826126
5,5,0.75,7,20,2026-03-12,train,0,0,0,0,,,,,,,,,,,
5,5,0.75,7,20,2026-03-12,test,3,3,3,2,0.3333333333333333,0.0,5.551115123125783e-17,0.5614970317550454,-0.1345376466216461,-0.16715742401112288,,,0.0,-0.1465324243932999,-0.18251675770826126
5,5,0.8,7,20,2026-03-12,all,3,3,3,2,0.3333333333333333,0.0,5.551115123125783e-17,0.5614970317550454,-0.1345376466216461,-0.16715742401112288,,,0.0,-0.1465324243932999,-0.18251675770826126
5,5,0.8,7,20,2026-03-12,train,0,0,0,0,,,,,,,,,,,
5,5,0.8,7,20,2026-03-12,test,3,3,3,2,0.3333333333333333,0.0,5.551115123125783e-17,0.5614970317550454,-0.1345376466216461,-0.16715742401112288,,,0.0,-0.1465324243932999,-0.18251675770826126
5,6,0.55,7,20,2026-03-12,all,1,1,1,1,1.0,0.0,0.0,0.7934506856227626,-0.16715742401112288,-0.16715742401112288,,,0.0,-0.16715742401112288,
5,6,0.55,7,20,2026-03-12,train,0,0,0,0,,,,,,,,,,,
5,6,0.55,7,20,2026-03-12,test,1,1,1,1,1.0,0.0,0.0,0.7934506856227626,-0.16715742401112288,-0.16715742401112288,,,0.0,-0.16715742401112288,
5,6,0.6,7,20,2026-03-12,all,1,1,1,1,1.0,0.0,0.0,0.7934506856227626,-0.16715742401112288,-0.16715742401112288,,,0.0,-0.16715742401112288,
5,6,0.6,7,20,2026-03-12,train,0,0,0,0,,,,,,,,,,,
