asof_day,source,segment_type,segment_key,population,ranked_rows
2025-08-12,x,narrative,software,1,1
2025-08-13,x,horizon,180D,5,5
2025-08-13,x,horizon,1D,37,37
2025-08-13,x,horizon,20D,13,13
2025-08-13,x,horizon,5D,27,27
2025-08-13,x,horizon,60D,6,6
2025-08-13,x,horizon,90D,5,5
2025-08-13,x,investor_type,flow_momentum,11,11
2025-08-13,x,investor_type,fundamental,6,6
2025-08-13,x,investor_type,technical,12,12
2025-08-13,x,narrative,ai_infra,1,1
2025-08-13,x,narrative,crypto,2,2
2025-08-13,x,narrative,ev,3,3
2025-08-13,x,narrative,semis,4,4
2025-08-13,x,narrative,software,1,1
2025-08-14,x,horizon,180D,5,5
2025-08-14,x,horizon,1D,37,37
2025-08-14,x,horizon,20D,14,14
2025-08-14,x,horizon,5D,29,29
2025-08-14,x,horizon,60D,6,6
2025-08-14,x,horizon,90D,5,5
2025-08-14,x,investor_type,flow_momentum,11,11
2025-08-14,x,investor_type,fundamental,6,6
2025-08-14,x,investor_type,technical,12,12
2025-08-14,x,narrative,ai_infra,1,1
2025-08-14,x,narrative,crypto,2,2
2025-08-14,x,narrative,ev,3,3
2025-08-14,x,narrative,semis,4,4
2025-08-14,x,narrative,software,1,1
2025-08-15,x,horizon,180D,6,6
2025-08-15,x,horizon,1D,38,38
2025-08-15,x,horizon,20D,14,14
2025-08-15,x,horizon,5D,30,30
2025-08-15,x,horizon,60D,6,6
2025-08-15,x,horizon,90D,6,6
2025-08-15,x,investor_type,flow_momentum,12,12
2025-08-15,x,investor_type,fundamental,6,6
2025-08-15,x,investor_type,technical,12,12
2025-08-15,x,narrative,ai_infra,1,1
2025-08-15,x,narrative,crypto,3,3
2025-08-15,x,narrative,ev,3,3
2025-08-15,x,narrative,semis,4,4
2025-08-15,x,narrative,software,1,1
2025-08-16,x,horizon,180D,7,7
2025-08-16,x,horizon,1D,39,39
2025-08-16,x,horizon,20D,15,15
2025-08-16,x,horizon,5D,30,30
2025-08-16,x,horizon,60D,6,6
2025-08-16,x,horizon,90D,7,7
2025-08-16,x,investor_type,flow_momentum,12,12
2025-08-16,x,investor_type,fundamental,6,6
2025-08-16,x,investor_type,technical,12,12
2025-08-16,x,narrative,ai_infra,1,1
2025-08-16,x,narrative,consumer,1,1
2025-08-16,x,narrative,crypto,3,3
2025-08-16,x,narrative,ev,3,3
2025-08-16,x,narrative,semis,4,4
2025-08-16,x,narrative,software,1,1
2025-08-17,x,horizon,180D,7,7
2025-08-17,x,horizon,1D,39,39
2025-08-17,x,horizon,20D,15,15
2025-08-17,x,horizon,5D,30,30
2025-08-17,x,horizon,60D,6,6
2025-08-17,x,horizon,90D,7,7
2025-08-17,x,investor_type,flow_momentum,12,12
2025-08-17,x,investor_type,fundamental,6,6
2025-08-17,x,investor_type,technical,12,12
2025-08-17,x,narrative,ai_infra,1,1
2025-08-17,x,narrative,consumer,1,1
2025-08-17,x,narrative,crypto,3,3
2025-08-17,x,narrative,ev,3,3
2025-08-17,x,narrative,semis,4,4
2025-08-17,x,narrative,software,1,1
2025-08-18,x,horizon,180D,7,7
2025-08-18,x,horizon,1D,39,39
2025-08-18,x,horizon,20D,15,15
2025-08-18,x,horizon,5D,30,30
2025-08-18,x,horizon,60D,6,6
2025-08-18,x,horizon,90D,7,7
2025-08-18,x,investor_type,flow_momentum,12,12
2025-08-18,x,investor_type,fundamental,6,6
2025-08-18,x,investor_type,technical,12,12
2025-08-18,x,narrative,ai_infra,1,1
2025-08-18,x,narrative,consumer,1,1
2025-08-18,x,narrative,crypto,3,3
2025-08-18,x,narrative,ev,3,3
2025-08-18,x,narrative,semis,4,4
2025-08-18,x,narrative,software,1,1
2025-08-19,x,horizon,180D,7,7
2025-08-19,x,horizon,1D,40,40
2025-08-19,x,horizon,20D,16,16
2025-08-19,x,horizon,5D,33,33
2025-08-19,x,horizon,60D,6,6
2025-08-19,x,horizon,90D,7,7
2025-08-19,x,investor_type,flow_momentum,12,12
2025-08-19,x,investor_type,fundamental,7,7
2025-08-19,x,investor_type,technical,12,12
2025-08-19,x,narrative,ai_infra,1,1
2025-08-19,x,narrative,consumer,1,1
2025-08-19,x,narrative,crypto,3,3
2025-08-19,x,narrative,ev,3,3
2025-08-19,x,narrative,semis,4,4
2025-08-19,x,narrative,software,1,1
2025-08-20,x,horizon,180D,7,7
2025-08-20,x,horizon,1D,44,44
2025-08-20,x,horizon,20D,16,16
2025-08-20,x,horizon,5D,33,33
2025-08-20,x,horizon,60D,6,6
2025-08-20,x,horizon,90D,7,7
2025-08-20,x,investor_type,flow_momentum,12,12
2025-08-20,x,investor_type,fundamental,9,9
2025-08-20,x,investor_type,technical,12,12
2025-08-20,x,narrative,ai_infra,1,1
2025-08-20,x,narrative,consumer,1,1
2025-08-20,x,narrative,crypto,3,3
2025-08-20,x,narrative,ev,3,3
2025-08-20,x,narrative,semis,4,4
